,0,1,2,3,4,5,6,7,8,9
246,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996),"Fugitive, The (1993)",Star Trek: First Contact (1996),Schindler's List (1993)
247,Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Jerry Maguire (1996)
248,Contact (1997),"English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Titanic (1997),Jerry Maguire (1996),"Princess Bride, The (1987)",Back to the Future (1985),Star Trek: First Contact (1996)
249,"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Titanic (1997),Back to the Future (1985),"Full Monty, The (1997)",Willy Wonka and the Chocolate Factory (1971),Mr. Holland's Opus (1995),Leaving Las Vegas (1995),Jaws (1975)
250,"English Patient, The (1996)",Air Force One (1997),"Empire Strikes Back, The (1980)",Independence Day (ID4) (1996),"Fugitive, The (1993)","Princess Bride, The (1987)",Schindler's List (1993),Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974),"Full Monty, The (1997)"
251,Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Monty Python and the Holy Grail (1974),Forrest Gump (1994)
252,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
253,Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Scream (1996),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),Back to the Future (1985),Forrest Gump (1994)
254,Fargo (1996),"Godfather, The (1972)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)"
255,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Empire Strikes Back, The (1980)",Titanic (1997),Jerry Maguire (1996),"Fugitive, The (1993)"
256,Contact (1997),"English Patient, The (1996)",Air Force One (1997),Titanic (1997),"Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Monty Python and the Holy Grail (1974),Forrest Gump (1994),"Full Monty, The (1997)"
257,Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),"Rock, The (1996)"
258,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
259,Star Wars (1977),Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),Pulp Fiction (1994),Air Force One (1997),Twelve Monkeys (1995),Jerry Maguire (1996)
260,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
261,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994)
262,"Godfather, The (1972)","English Patient, The (1996)",Air Force One (1997),Titanic (1997),"Rock, The (1996)","Fugitive, The (1993)","Princess Bride, The (1987)",Star Trek: First Contact (1996),Monty Python and the Holy Grail (1974),L.A. Confidential (1997)
263,"English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),"Princess Bride, The (1987)",L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971)
264,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996)
265,Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),"Fugitive, The (1993)","Princess Bride, The (1987)"
266,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
267,Contact (1997),"English Patient, The (1996)",Toy Story (1995),Scream (1996),Air Force One (1997),Titanic (1997),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)","Princess Bride, The (1987)"
268,Air Force One (1997),Titanic (1997),Jerry Maguire (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)",Forrest Gump (1994),Braveheart (1995),Dead Man Walking (1995),When Harry Met Sally... (1989),Mr. Holland's Opus (1995)
269,Contact (1997),"English Patient, The (1996)",Toy Story (1995),Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),"Rock, The (1996)","Fugitive, The (1993)",Star Trek: First Contact (1996)
270,Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),"Rock, The (1996)",Back to the Future (1985)
271,Scream (1996),Twelve Monkeys (1995),Star Trek: First Contact (1996),Willy Wonka and the Chocolate Factory (1971),"Terminator, The (1984)",Terminator 2: Judgment Day (1991),Alien (1979),Casablanca (1942),"Saint, The (1997)",Jurassic Park (1993)
272,Fargo (1996),Return of the Jedi (1983),Contact (1997),"English Patient, The (1996)",Toy Story (1995),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
273,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
274,Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),"Fugitive, The (1993)","Princess Bride, The (1987)"
275,Fargo (1996),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996),"Fugitive, The (1993)"
276,"English Patient, The (1996)",Amadeus (1984),When Harry Met Sally... (1989),Mr. Holland's Opus (1995),Casablanca (1942),Sense and Sensibility (1995),"Wizard of Oz, The (1939)","Sting, The (1973)","Truth About Cats & Dogs, The (1996)",Butch Cassidy and the Sundance Kid (1969)
277,Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),"Fugitive, The (1993)"
278,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
279,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Air Force One (1997),Titanic (1997),Jerry Maguire (1996),Schindler's List (1993),Forrest Gump (1994),L.A. Confidential (1997)
280,Contact (1997),Air Force One (1997),Independence Day (ID4) (1996),Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971),Amadeus (1984),Blade Runner (1982)
281,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
282,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
283,Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
284,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
285,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995)
286,"English Patient, The (1996)","Silence of the Lambs, The (1991)",Air Force One (1997),Liar Liar (1997),Titanic (1997),"Fugitive, The (1993)",Star Trek: First Contact (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)",Forrest Gump (1994)
287,Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),"Fugitive, The (1993)","Princess Bride, The (1987)"
288,Return of the Jedi (1983),Toy Story (1995),Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),"Rock, The (1996)","Fugitive, The (1993)",Back to the Future (1985)
289,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
290,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
291,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Air Force One (1997),Titanic (1997),Star Trek: First Contact (1996),Schindler's List (1993),"Full Monty, The (1997)",L.A. Confidential (1997),Alien (1979)
292,Contact (1997),"English Patient, The (1996)","Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),Back to the Future (1985),Schindler's List (1993),Indiana Jones and the Last Crusade (1989)
293,Schindler's List (1993),"Full Monty, The (1997)",Dead Man Walking (1995),Amadeus (1984),Leaving Las Vegas (1995),"Graduate, The (1967)",Trainspotting (1996),Chasing Amy (1997),Twister (1996),"Game, The (1997)"
294,Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)","Princess Bride, The (1987)",Back to the Future (1985),Schindler's List (1993),Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)"
295,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),"Rock, The (1996)","Shawshank Redemption, The (1994)","Full Monty, The (1997)"
296,Raiders of the Lost Ark (1981),Scream (1996),Air Force One (1997),"Princess Bride, The (1987)",Schindler's List (1993),Monty Python and the Holy Grail (1974),"Shawshank Redemption, The (1994)",Forrest Gump (1994),L.A. Confidential (1997),"Terminator, The (1984)"
297,"Godfather, The (1972)","Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),Schindler's List (1993),"Shawshank Redemption, The (1994)",Terminator 2: Judgment Day (1991),Dead Man Walking (1995),Mission: Impossible (1996),Mr. Holland's Opus (1995)
298,Fargo (1996),Contact (1997),Scream (1996),Pulp Fiction (1994),Air Force One (1997),Twelve Monkeys (1995),Titanic (1997),"Rock, The (1996)","Princess Bride, The (1987)",Star Trek: First Contact (1996)
299,Contact (1997),"Empire Strikes Back, The (1980)",Independence Day (ID4) (1996),"Rock, The (1996)","Fugitive, The (1993)","Shawshank Redemption, The (1994)",Forrest Gump (1994),"Full Monty, The (1997)",Braveheart (1995),"Terminator, The (1984)"
300,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
301,"English Patient, The (1996)",Titanic (1997),L.A. Confidential (1997),Men in Black (1997),Sense and Sensibility (1995),Jaws (1975),2001: A Space Odyssey (1968),Conspiracy Theory (1997),Raising Arizona (1987),"Saint, The (1997)"
302,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994)
303,Titanic (1997),Blade Runner (1982),Sense and Sensibility (1995),2001: A Space Odyssey (1968),Dead Poets Society (1989),"Graduate, The (1967)",It's a Wonderful Life (1946),Apocalypse Now (1979),"Hunt for Red October, The (1990)","Boot, Das (1981)"
304,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
305,Scream (1996),Liar Liar (1997),Titanic (1997),Braveheart (1995),Dead Man Walking (1995),Leaving Las Vegas (1995),Apollo 13 (1995),Jaws (1975),Conspiracy Theory (1997),"Birdcage, The (1996)"
306,Star Wars (1977),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
307,"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)",Schindler's List (1993)
308,Contact (1997),"English Patient, The (1996)",Air Force One (1997),"Princess Bride, The (1987)",Star Trek: First Contact (1996),"Full Monty, The (1997)",L.A. Confidential (1997),Mission: Impossible (1996),Conspiracy Theory (1997),"Saint, The (1997)"
309,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
310,Fargo (1996),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
311,"English Patient, The (1996)",Scream (1996),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996),"Full Monty, The (1997)",L.A. Confidential (1997),Willy Wonka and the Chocolate Factory (1971),Mission: Impossible (1996),Men in Black (1997)
312,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Jerry Maguire (1996)
313,"English Patient, The (1996)",Scream (1996),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),"Princess Bride, The (1987)","Full Monty, The (1997)",L.A. Confidential (1997),"Usual Suspects, The (1995)",Dead Man Walking (1995)
314,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Air Force One (1997),"Empire Strikes Back, The (1980)"
315,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
316,Return of the Jedi (1983),Contact (1997),Toy Story (1995),Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996)
317,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994)
318,Return of the Jedi (1983),Contact (1997),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),"Rock, The (1996)"
319,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996)
320,Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Titanic (1997),Jerry Maguire (1996),Star Trek: First Contact (1996),Schindler's List (1993),Monty Python and the Holy Grail (1974)
321,Return of the Jedi (1983),Contact (1997),Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996)
322,Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
323,Raiders of the Lost Ark (1981),Toy Story (1995),Titanic (1997),Jerry Maguire (1996),"Princess Bride, The (1987)",Schindler's List (1993),Monty Python and the Holy Grail (1974),Forrest Gump (1994),"Full Monty, The (1997)",L.A. Confidential (1997)
324,Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
325,Contact (1997),Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)","Fugitive, The (1993)"
326,Fargo (1996),Contact (1997),"English Patient, The (1996)",Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),"Rock, The (1996)"
327,Mr. Holland's Opus (1995),Leaving Las Vegas (1995),Casablanca (1942),2001: A Space Odyssey (1968),"Saint, The (1997)",Psycho (1960),"Sting, The (1973)",Ransom (1996),Dances with Wolves (1990),It's a Wonderful Life (1946)
328,Raiders of the Lost Ark (1981),Toy Story (1995),Scream (1996),"Princess Bride, The (1987)",Indiana Jones and the Last Crusade (1989),Monty Python and the Holy Grail (1974),"Full Monty, The (1997)",Willy Wonka and the Chocolate Factory (1971),Amadeus (1984),Men in Black (1997)
329,Toy Story (1995),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Independence Day (ID4) (1996),Jerry Maguire (1996),"Princess Bride, The (1987)",Back to the Future (1985),Star Trek: First Contact (1996),Schindler's List (1993),Indiana Jones and the Last Crusade (1989)
330,Contact (1997),"Godfather, The (1972)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),"Fugitive, The (1993)","Princess Bride, The (1987)"
331,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
332,Fargo (1996),"English Patient, The (1996)",Schindler's List (1993),Monty Python and the Holy Grail (1974),Forrest Gump (1994),"Full Monty, The (1997)",Willy Wonka and the Chocolate Factory (1971),Alien (1979),E.T. the Extra-Terrestrial (1982),Amadeus (1984)
333,Star Wars (1977),Return of the Jedi (1983),Contact (1997),"English Patient, The (1996)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997)
334,Toy Story (1995),Liar Liar (1997),"Shawshank Redemption, The (1994)","Terminator, The (1984)",Terminator 2: Judgment Day (1991),One Flew Over the Cuckoo's Nest (1975),Mr. Holland's Opus (1995),Jaws (1975),Groundhog Day (1993),"Birdcage, The (1996)"
335,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
336,Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997)
337,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
338,Star Wars (1977),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995),Titanic (1997)
339,Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),Jerry Maguire (1996),Schindler's List (1993),Indiana Jones and the Last Crusade (1989),Terminator 2: Judgment Day (1991),Mission: Impossible (1996),Mr. Holland's Opus (1995)
340,Fargo (1996),Contact (1997),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995)
341,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994)
342,Star Wars (1977),Return of the Jedi (1983),Contact (1997),"Godfather, The (1972)",Toy Story (1995),Air Force One (1997),"Empire Strikes Back, The (1980)",Titanic (1997),Independence Day (ID4) (1996),"Rock, The (1996)"
343,Return of the Jedi (1983),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Titanic (1997),"Princess Bride, The (1987)",Back to the Future (1985),Indiana Jones and the Last Crusade (1989),Willy Wonka and the Chocolate Factory (1971),"Terminator, The (1984)"
344,Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Schindler's List (1993),Monty Python and the Holy Grail (1974),E.T. the Extra-Terrestrial (1982),Men in Black (1997),Mr. Holland's Opus (1995),Apollo 13 (1995),Casablanca (1942)
345,"Godfather, The (1972)",Twelve Monkeys (1995),Star Trek: First Contact (1996),Monty Python and the Holy Grail (1974),Braveheart (1995),"Terminator, The (1984)",Terminator 2: Judgment Day (1991),Alien (1979),E.T. the Extra-Terrestrial (1982),Blade Runner (1982)
346,Contact (1997),"English Patient, The (1996)",Toy Story (1995),Titanic (1997),Star Trek: First Contact (1996),Forrest Gump (1994),"Full Monty, The (1997)",Dead Man Walking (1995),Amadeus (1984),Men in Black (1997)
347,Titanic (1997),"Shawshank Redemption, The (1994)","Full Monty, The (1997)",L.A. Confidential (1997),Dead Man Walking (1995),Amadeus (1984),Blade Runner (1982),Casablanca (1942),Sense and Sensibility (1995),Jaws (1975)
348,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
349,Star Wars (1977),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Air Force One (1997)
350,Fargo (1996),Scream (1996),Pulp Fiction (1994),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)"
351,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Liar Liar (1997)
352,Contact (1997),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),Scream (1996),Air Force One (1997),Liar Liar (1997),Titanic (1997),Independence Day (ID4) (1996),Jerry Maguire (1996)
353,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
354,"Godfather, The (1972)",Toy Story (1995),Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Independence Day (ID4) (1996),Jerry Maguire (1996),"Rock, The (1996)"
355,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
356,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)",Twelve Monkeys (1995)
357,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997)
358,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),"English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)"
359,Fargo (1996),Contact (1997),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Scream (1996),Pulp Fiction (1994),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997)
360,"Silence of the Lambs, The (1991)",Scream (1996),Air Force One (1997),Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997),Independence Day (ID4) (1996),"Rock, The (1996)","Princess Bride, The (1987)",Back to the Future (1985)
361,Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Toy Story (1995),Scream (1996),Air Force One (1997),"Empire Strikes Back, The (1980)",Liar Liar (1997),Twelve Monkeys (1995),Titanic (1997)
362,Star Wars (1977),Fargo (1996),Return of the Jedi (1983),Raiders of the Lost Ark (1981),"Godfather, The (1972)","English Patient, The (1996)",Toy Story (1995),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Empire Strikes Back, The (1980)"
